 t = 54.961381525	 r = -0.5	 u = -0.00862981751561	 x1 = 0.00725102424622	 x0 = -0.427807569504
 t = 55.00161495	 r = 0.5	 u = -0.00193226570264	 x1 = 0.0104736089706	 x0 = -0.431835889816
 t = 55.041383925	 r = 0.5	 u = 0.219068676233	 x1 = -0.04833984375	 x0 = -0.416528344154
 t = 55.08141015	 r = 0.5	 u = 0.0666690766811	 x1 = -0.246533155441	 x0 = -0.274731397629
 t = 55.121385925	 r = 0.5	 u = 0.0666690766811	 x1 = -0.312597632408	 x0 = -0.0185302495956
 t = 55.161386525	 r = 0.5	 u = -0.115184687078	 x1 = -0.258618116379	 x0 = 0.2578125
 t = 55.20160905	 r = 0.5	 u = -0.152565866709	 x1 = -0.132934570312	 x0 = 0.438281178474
 t = 26.687239475	 r = -1.46891090626e-21	 u = 0.5	 x1 = 1.61470722523e-35	 x0 = 2.35104167073e-38
 t = 55.271389675	 r = 0.5	 u = -0.0765952542424	 x1 = 0.0249755382538	 x0 = 0.522070288658
 t = 55.311390275	 r = 0.5	 u = 0.00572972372174	 x1 = 0.0378662347794	 x0 = 0.496289134026
 t = 55.351612575	 r = 0.5	 u = 0.0261120572686	 x1 = 0.0153076648712	 x0 = 0.483398318291
 t = 55.391392675	 r = 0.5	 u = 0.00442365324125	 x1 = -0.0104736089706	 x0 = 0.493066430092
 t = 55.431419725	 r = 0.5	 u = -0.0182974897325	 x1 = -0.0185302495956	 x0 = 0.515624880791
 t = 55.471394675	 r = 0.5	 u = -0.0182974897325	 x1 = -0.0120849609375	 x0 = 0.539794802666
 t = 55.511395275	 r = 0.5	 u = -0.0203259252012	 x1 = 0.0040283203125	 x0 = 0.552685618401
 t = 55.551619175	 r = 0.5	 u = -0.00408651214093	 x1 = 0.00483393669128	 x0 = 0.552685618401
 t = 78.014054425	 r = -3.75467014964e+21	 u = 0.0	 x1 = 0.559936404228	 x0 = 0.5
 t = 55.621398425	 r = 0.5	 u = -0.000494632986374	 x1 = -0.00161135196686	 x0 = 0.559936404228
 t = 55.661399025	 r = 0.5	 u = -0.00146120763384	 x1 = -0.00725102424622	 x0 = 0.567187428474
 t = 55.701623525	 r = 0.5	 u = -0.0157648753375	 x1 = 0.00241696834564	 x0 = 0.580078005791
 t = 55.741401425	 r = 0.5	 u = -0.0152468802407	 x1 = 0.0104736089706	 x0 = 0.583300709724
 t = 55.781428775	 r = 0.5	 u = -0.00487869931385	 x1 = 0.0153076648712	 x0 = 0.580078005791
 t = 55.821403425	 r = 0.5	 u = -0.00487869931385	 x1 = 0.0193359851837	 x0 = 0.572827219963
 t = 55.861404025	 r = 0.5	 u = 0.00144862814341	 x1 = 0.00886225700378	 x0 = 0.567187428474
 t = 55.9016279	 r = 0.5	 u = -0.00494510447606	 x1 = 0.0120849609375	 x0 = 0.567187428474
 t = 55.941406425	 r = 0.5	 u = -0.0115716243163	 x1 = 0.0120849609375	 x0 = 0.570410132408
 t = 55.981433775	 r = 0.5	 u = -0.00870825722814	 x1 = 0.0153076648712	 x0 = 0.567187428474
 t = 56.021408425	 r = -0.5	 u = -0.00870825722814	 x1 = 0.0120849609375	 x0 = 0.567187428474
 t = 56.061409025	 r = -0.5	 u = -0.233902350068	 x1 = 0.17724609375	 x0 = 0.509985327721
 t = 56.101629675	 r = -0.5	 u = -0.0671059414744	 x1 = 0.302124023438	 x0 = 0.280371069908
 t = 56.141411425	 r = -0.5	 u = 0.104377090931	 x1 = 0.318237304688	 x0 = 0.00322270393372
 t = 56.181437225	 r = -0.5	 u = 0.132206022739	 x1 = 0.217529296875	 x0 = -0.219946265221
 t = 56.221413425	 r = -0.5	 u = 0.132206022739	 x1 = 0.0926513671875	 x0 = -0.3544921875
 t = 56.261414025	 r = -0.5	 u = 0.0634668022394	 x1 = 0.0153076648712	 x0 = -0.383496046066
 t = 56.3016364	 r = -0.5	 u = -0.0155578814447	 x1 = -0.0193359851837	 x0 = -0.361743211746
 t = 56.341416425	 r = -0.5	 u = -0.0328021980822	 x1 = -0.00483393669128	 x0 = -0.348852515221
 t = 56.3814437	 r = -0.5	 u = -0.014458656311	 x1 = 0.0225585699081	 x0 = -0.349658250809
 t = 56.421418425	 r = -0.5	 u = -0.014458656311	 x1 = 0.0354492664337	 x0 = -0.365771532059
 t = 56.461419025	 r = -0.5	 u = 0.00313080381602	 x1 = 0.0306152105331	 x0 = -0.392358422279
 t = 56.5016419	 r = -0.5	 u = -0.00438272114843	 x1 = 0.0281982421875	 x0 = -0.406054735184
 t = 56.541421425	 r = -0.5	 u = 0.000630375696346	 x1 = 0.0249755382538	 x0 = -0.4189453125
 t = 56.581448775	 r = -0.5	 u = -0.00576481316239	 x1 = 0.0120849609375	 x0 = -0.421362280846
 t = 56.621423425	 r = -0.5	 u = -0.00576481316239	 x1 = 0.0185302495956	 x0 = -0.431835889816
 t = 56.661424025	 r = -0.5	 u = -0.00305835460313	 x1 = 0.0201416015625	 x0 = -0.436669945717
 t = 56.70164675	 r = -0.5	 u = -0.00321636442095	 x1 = 0.0169188976288	 x0 = -0.438281297684
 t = 56.741426425	 r = -0.5	 u = -0.00880529079586	 x1 = 0.00966799259186	 x0 = -0.436669945717
 t = 56.781454275	 r = -0.5	 u = -0.00292007206008	 x1 = 0.0128905773163	 x0 = -0.434252977371
 t = 56.821428425	 r = -0.5	 u = -0.00292007206008	 x1 = 0.00644528865814	 x0 = -0.438281297684
 t = 56.861429025	 r = -0.5	 u = -0.00251332111657	 x1 = 0.0120849609375	 x0 = -0.438281297684
 t = 56.9016529	 r = -0.5	 u = -0.00842418242246	 x1 = 0.00886225700378	 x0 = -0.43505859375
 t = 56.941431425	 r = -0.5	 u = -0.00740386685356	 x1 = 0.00886225700378	 x0 = -0.431835889816
 t = 56.98145895	 r = -0.5	 u = -0.00752348778769	 x1 = 0.00644528865814	 x0 = -0.429418921471
 t = 57.021433425	 r = 0.5	 u = -0.00752348778769	 x1 = 0.0169188976288	 x0 = -0.434252977371
 t = 57.061434025	 r = 0.5	 u = 0.226744771004	 x1 = -0.149047851562	 x0 = -0.380273461342
 t = 57.101655675	 r = 0.5	 u = 0.0658988505602	 x1 = -0.2900390625	 x0 = -0.155493140221
 t = 57.141436425	 r = 0.5	 u = -0.11641266942	 x1 = -0.305346727371	 x0 = 0.124072313309
 t = 57.181462625	 r = 0.5	 u = -0.154951125383	 x1 = -0.207055687904	 x0 = 0.364160180092
 t = 57.221438425	 r = 0.5	 u = -0.154951125383	 x1 = -0.0749267339706	 x0 = 0.500317454338
 t = 57.261439025	 r = 0.5	 u = -0.076323479414	 x1 = 0.00644528865814	 x0 = 0.527709841728
 t = 26.530119225	 r = 1.4009678461e-14	 u = 0.5	 x1 = -3.26157088571e+27	 x0 = 2.35100523697e-38
