t = 92.967863175	 r = 0.5	 u = 0.0647151172161	 x1 = -0.255395531654	 x0 = -0.277954101562
 t = 93.007838725	 r = 0.5	 u = 0.0647151172161	 x1 = -0.315820336342	 x0 = -0.0169188976288
 t = 93.047839325	 r = 0.5	 u = -0.121725559235	 x1 = -0.248144507408	 x0 = 0.253784179688
 t = 93.0880613	 r = 0.5	 u = -0.148985266685	 x1 = -0.132128953934	 x0 = 0.432641625404
 t = 93.127841725	 r = 0.5	 u = -0.0695516318083	 x1 = -0.024169921875	 x0 = 0.501928687096
 t = 93.1678688	 r = 0.5	 u = 0.0108213732019	 x1 = 0.0410888195038	 x0 = 0.504345774651
 t = 93.207843725	 r = 0.5	 u = 0.0108213732019	 x1 = 0.0145019292831	 x0 = 0.485815405846
 t = 93.247844325	 r = 0.5	 u = 0.024802101776	 x1 = -0.00644528865814	 x0 = 0.482592701912
 t = 93.2880687	 r = 0.5	 u = 0.000224966555834	 x1 = -0.0257812738419	 x0 = 0.505151391029
 t = 93.327846725	 r = 0.5	 u = -0.0150372544304	 x1 = -0.0257812738419	 x0 = 0.534155249596
 t = 93.367873775	 r = 0.5	 u = -0.017792545259	 x1 = -0.0128905773163	 x0 = 0.559936404228
 t = 93.407848725	 r = 0.5	 u = -0.017792545259	 x1 = -0.00563967227936	 x0 = 0.576049685478
 t = 93.447849325	 r = 0.5	 u = -0.0171716250479	 x1 = -0.000805616378784	 x0 = 0.582495093346
 t = 93.488071875	 r = 0.5	 u = -0.0106872264296	 x1 = 0.0128905773163	 x0 = 0.577661156654
 t = 93.527851725	 r = 0.5	 u = -0.000844490481541	 x1 = 0.0145019292831	 x0 = 0.572827219963
 t = 93.567879125	 r = 0.5	 u = 0.00147337873932	 x1 = 0.0104736089706	 x0 = 0.566381812096
 t = 93.607853725	 r = 0.5	 u = 0.00147337873932	 x1 = 0.00241696834564	 x0 = 0.572827219963
 t = 93.647854325	 r = 0.5	 u = -0.0100280344486	 x1 = 0.0040283203125	 x0 = 0.572827219963
 t = 93.68807575	 r = 0.5	 u = -0.0147550031543	 x1 = 0.01611328125	 x0 = 0.571215748787
 t = 93.727856725	 r = 0.5	 u = -0.00257517071441	 x1 = 0.0145019292831	 x0 = 0.566381812096
 t = 93.76788415	 r = 0.5	 u = 0.00341956038028	 x1 = 0.0185302495956	 x0 = 0.559130787849
 t = 93.807858725	 r = 0.5	 u = 0.00341956038028	 x1 = -0.000805616378784	 x0 = 0.559936404228
 t = 93.847859325	 r = 0.5	 u = -0.00688066333532	 x1 = 0.00322270393372	 x0 = 0.566381812096
 t = 93.8880929	 r = -0.5	 u = -0.0133963152766	 x1 = 0.0120849609375	 x0 = 0.560742259026
 t = 93.927861725	 r = -0.5	 u = -0.23282584548	 x1 = 0.0580078363419	 x0 = 0.559936404228
 t = 93.9678883	 r = -0.5	 u = -0.0626744478941	 x1 = 0.273120164871	 x0 = 0.409277319908
 t = 94.007863725	 r = -0.5	 u = -0.0626744478941	 x1 = 0.319042921066	 x0 = 0.159521460533
 t = 94.047864325	 r = -0.5	 u = 0.105345107615	 x1 = 0.2578125	 x0 = -0.103930711746
 t = 94.0880864	 r = -0.5	 u = 0.123693108559	 x1 = 0.141796827316	 x0 = -0.277954101562
 t = 94.127866725	 r = -0.5	 u = 0.054774414748	 x1 = 0.0451171398163	 x0 = -0.350463867188
 t = 94.16789365	 r = -0.5	 u = -0.0154998162761	 x1 = -0.00725102424622	 x0 = -0.360937476158
 t = 94.207868725	 r = -0.5	 u = -0.0154998162761	 x1 = 0.00563967227936	 x0 = -0.346435546875
 t = 94.247869325	 r = -0.5	 u = -0.0363489836454	 x1 = 0.0233643054962	 x0 = -0.346435546875
 t = 94.2880919	 r = -0.5	 u = -0.0102635417134	 x1 = 0.0410888195038	 x0 = -0.371411085129
 t = 94.327871725	 r = -0.5	 u = 0.0100240409374	 x1 = 0.0443115234375	 x0 = -0.396386742592
 t = 94.36789985	 r = -0.5	 u = -0.000206012045965	 x1 = 0.0225585699081	 x0 = -0.409277319908
 t = 94.407873725	 r = -0.5	 u = -0.000206012045965	 x1 = 0.0185302495956	 x0 = -0.428613305092
 t = 94.447874325	 r = -0.5	 u = -0.00606481544673	 x1 = 0.0249755382538	 x0 = -0.43505859375
 t = 94.488097575	 r = -0.5	 u = 0.0026538236998	 x1 = 0.0185302495956	 x0 = -0.441503882408
 t = 94.527876725	 r = -0.5	 u = -0.00401325616986	 x1 = 0.0112793445587	 x0 = -0.441503882408
 t = 94.567904175	 r = -0.5	 u = -0.0107512678951	 x1 = 0.00966799259186	 x0 = -0.435864210129
 t = 94.607878725	 r = -0.5	 u = -0.0107512678951	 x1 = 0.0120849609375	 x0 = -0.438281297684
 t = 94.647879325	 r = -0.5	 u = -0.00259657972492	 x1 = 0.0120849609375	 x0 = -0.438281297684
 t = 94.68810205	 r = -0.5	 u = -0.00260037276894	 x1 = 0.00563967227936	 x0 = -0.438281297684
 t = 94.727881725	 r = -0.5	 u = -0.00607029814273	 x1 = 0.00563967227936	 x0 = -0.433447241783
 t = 94.767909175	 r = -0.5	 u = -0.0124184275046	 x1 = -0.000805616378784	 x0 = -0.422973632812
 t = 94.807883725	 r = -0.5	 u = -0.0124184275046	 x1 = 0.0120849609375	 x0 = -0.425390601158
 t = 94.847884325	 r = -0.5	 u = -0.00291830650531	 x1 = 0.00725102424622	 x0 = -0.428613305092
 t = 94.888118375	 r = 0.5	 u = -0.00657005235553	 x1 = 0.0128905773163	 x0 = -0.421362280846
 t = 94.927886725	 r = 0.5	 u = 0.225207895041	 x1 = -0.040283203125	 x0 = -0.422168016434
 t = 94.96791345	 r = 0.5	 u = 0.0570098757744	 x1 = -0.2578125	 x0 = -0.274731397629
 t = 95.007888725	 r = 0.5	 u = 0.0570098757744	 x1 = -0.303735375404	 x0 = -0.0193359851837
 t = 95.047889325	 r = 0.5	 u = -0.116411447525	 x1 = -0.245727539062	 x0 = 0.251367211342
 t = 95.088110725	 r = 0.5	 u = -0.142593294382	 x1 = -0.129711866379	 x0 = 0.431836009026
 t = 95.127891725	 r = 0.5	 u = -0.0701463371515	 x1 = -0.0265868902206	 x0 = 0.502734303474
 t = 95.167919675	 r = 0.5	 u = -0.00120668299496	 x1 = 0.0322265625	 x0 = 0.509985327721
