 t = 29.969259025	 r = 0.5	 u = 0.00785367563367	 x1 = -0.00886225700378	 x0 = 0.495483279228
 t = 30.009259625	 r = 0.5	 u = 0.00433075986803	 x1 = -0.0153076648712	 x0 = 0.511596560478
 t = 30.049260625	 r = 0.5	 u = -0.0178575888276	 x1 = -0.0185302495956	 x0 = 0.534155249596
 t = 30.089262025	 r = 0.5	 u = -0.0169764757156	 x1 = -0.0104736089706	 x0 = 0.552685618401
 t = 30.129479125	 r = 0.5	 u = -0.0140357436612	 x1 = -0.00483393669128	 x0 = 0.566381812096
 t = 30.169264025	 r = 0.5	 u = -0.0140357436612	 x1 = 0.0153076648712	 x0 = 0.567187428474
 t = 30.209264625	 r = 0.5	 u = -0.00720284599811	 x1 = 0.0120849609375	 x0 = 0.558325171471
 t = 30.249265625	 r = 0.5	 u = 0.00291117932647	 x1 = 0.01611328125	 x0 = 0.556713938713
 t = 30.289267025	 r = 0.5	 u = -0.00765762431547	 x1 = 0.00322270393372	 x0 = 0.559936404228
 t = 30.32948285	 r = 0.5	 u = -0.00850988551974	 x1 = 0.0145019292831	 x0 = 0.554296851158
 t = 30.369269025	 r = 0.5	 u = -0.00850988551974	 x1 = 0.0136963129044	 x0 = 0.559936404228
 t = 30.409269625	 r = 0.5	 u = -0.00899295136333	 x1 = 0.0153076648712	 x0 = 0.555908083916
 t = 30.449270625	 r = 0.5	 u = -0.00238728988916	 x1 = 0.0120849609375	 x0 = 0.547851443291
 t = 30.489272025	 r = 0.5	 u = -0.000952743925154	 x1 = 0.0185302495956	 x0 = 0.544628977776
 t = 30.5294877	 r = 0.5	 u = -0.00618033623323	 x1 = 0.00886225700378	 x0 = 0.550268530846
 t = 30.569274025	 r = 0.5	 u = -0.00618033623323	 x1 = -0.000805616378784	 x0 = 0.553491234779
 t = 30.609274625	 r = 0.5	 u = -0.00473139202222	 x1 = 0.00644528865814	 x0 = 0.556713938713
 t = 30.649275625	 r = -0.5	 u = -0.236559212208	 x1 = 0.0257812738419	 x0 = 0.563159108162
 t = 30.689277025	 r = -0.5	 u = -0.0691212713718	 x1 = 0.239282250404	 x0 = 0.446337819099
 t = 30.7294907	 r = -0.5	 u = 0.107475921512	 x1 = 0.307763695717	 x0 = 0.195776343346
 t = 30.769279025	 r = -0.5	 u = 0.107475921512	 x1 = 0.269897460938	 x0 = -0.0708984136581
 t = 30.809279625	 r = -0.5	 u = 0.116619490087	 x1 = 0.169995069504	 x0 = -0.2578125
 t = 30.849280625	 r = -0.5	 u = 0.0532604940236	 x1 = 0.0660644769669	 x0 = -0.345629930496
 t = 30.889282025	 r = -0.5	 u = -0.014926109463	 x1 = 0.00644528865814	 x0 = -0.364965796471
 t = 30.929496925	 r = -0.5	 u = -0.0226396843791	 x1 = 0.0120849609375	 x0 = -0.365771532059
 t = 30.969284025	 r = -0.5	 u = -0.0226396843791	 x1 = 0.0290038585663	 x0 = -0.363354444504
 t = 31.009284625	 r = -0.5	 u = -0.00840603001416	 x1 = 0.0314209461212	 x0 = -0.385107398033
 t = 31.049285625	 r = -0.5	 u = -0.00300821661949	 x1 = 0.0378662347794	 x0 = -0.406054735184
 t = 31.089287025	 r = -0.5	 u = 0.00875341705978	 x1 = 0.0378662347794	 x0 = -0.430224657059
 t = 31.129504125	 r = -0.5	 u = -0.000608203932643	 x1 = 0.0233643054962	 x0 = -0.442309617996
 t = 31.169289025	 r = -0.5	 u = -0.000608203932643	 x1 = 0.0153076648712	 x0 = -0.447949171066
